Alternate URL,Article Abstract,Author Biography,Banner,Biographical Categories,Body,Byline,Column Name,Column Number,Correction Date,Correction Text,Credit,Dateline,Day Of Week,Descriptors,Feature Page,General Online Descriptors,Guid,Headline,Kicker,Lead Paragraph,Locations,Names,News Desk,Normalized Byline,Online Descriptors,Online Headline,Online Lead Paragraph,Online Locations,Online Organizations,Online People,Online Section,Online Titles,Organizations,Page,People,Publication Date,Publication Day Of Month,Publication Month,Publication Year,Section,Series Name,Slug,Taxonomic Classifiers,Titles,Types Of Material,Url,Word Count,Filename,Sentiment and score,Sentiment,Score
,,,,,"LEAD: To the Editor: To the Editor: Your Dec. 3 report that the Government's index of leading economic indicators was up by .6 percent for October (Business Day), stated, ''Most analysts, however, took little comfort in the latest figures, asserting that they most likely pointed to a continuation of lackluster economic growth in the months ahead.'' We believe that such an interpretation of the near-term prospects for the United States economy is misleading if it is based on the October 1986 data in the Depa",,,4,,,The New York Times,,Thursday,UNITED STATES ECONOMY|LEADING ECONOMIC INDICATORS,,,45,How to Test the Temperature of the Economy,,LEAD: To the Editor:,,,Editorial Desk,,,,,,,,Opinion,,,26,ALAN E SHAMEER,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DEFD81F3DF932A35752C0A961948260,549,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000045.xml,"('NEGATIVE', 0.999335527420044)",NEGATIVE,0.999335527420044
,,,,,"LEAD: Pamela Therese Sebastian, a reporter for The Wall Street Journal, and Dr. Gerald A. Ridge, an internist in private practice in Bronxville, N.Y., were married yesterday at All Saints Episcopal Church in Manhattan. The Rev. R. DeWitt Mallary Jr. performed the ceremony. Pamela Therese Sebastian, a reporter for The Wall Street Journal, and Dr. Gerald A. Ridge, an internist in private practice in Bronxville, N.Y., were married yesterday at All Saints Episcopal Church in Manhattan. The Rev. R. DeWitt Mallar",,,6,,,The New York Times,,Thursday,WEDDINGS AND ENGAGEMENTS,,,46,Dr. Gerald A. Ridge Weds Pamela Therese Sebastian,,"LEAD: Pamela Therese Sebastian, a reporter for The Wall Street Journal, and Dr. Gerald A. Ridge, an internist in private practice in Bronxville, N.Y., were married yesterday at All Saints Episcopal Church in Manhattan. The Rev. R. DeWitt Mallary Jr. performed the ceremony.",,,Society Desk,,,,,,,,Style,,,16,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DEFDA143CF932A35752C0A961948260,117,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000046.xml,"('POSITIVE', 0.9922246336936951)",POSITIVE,0.9922246336936951
,,,,,"LEAD: Carolyn E. Klim, the daughter of Midge Bolton and Peter Klim, both of Mercerville, N.J., was married in New Brunswick, N.J., last night to Robert R. Hartel, a son of Mr. and Mrs. Otto Hartel of New Brunswick. The Rev. John Carroll performed the Roman Catholic ceremony in the Kirkpatrick Chapel at Rutgers University, of which the bridegroom is an alumnus. Carolyn E. Klim, the daughter of Midge Bolton and Peter Klim, both of Mercerville, N.J., was married in New Brunswick, N.J., last night to Robert R. ",,,5,,,The New York Times,,Thursday,WEDDINGS AND ENGAGEMENTS,,,47,Carolyn Klim Is Wed,,"LEAD: Carolyn E. Klim, the daughter of Midge Bolton and Peter Klim, both of Mercerville, N.J., was married in New Brunswick, N.J., last night to Robert R. Hartel, a son of Mr. and Mrs. Otto Hartel of New Brunswick. The Rev. John Carroll performed the Roman Catholic ceremony in the Kirkpatrick Chapel at Rutgers University, of which the bridegroom is an alumnus.",,,Society Desk,,,,,,,,Style,,,16,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DE5D9143CF932A35752C0A961948260,90,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000047.xml,"('POSITIVE', 0.9910489320755005)",POSITIVE,0.9910489320755005
,,,,,"LEAD: Kathleen McNamara, a daughter of Robert S. McNamara of Washington and the late Margaret McNamara, was married yesterday to John Stephen Spears, a son of the late Mr. and Mrs. Arthur John Spears of Shrewsbury, Shropshire, England. The Rev. Greg Anderson performed a Christian service at the Prince of Peace Chapel in Aspen, Kathleen McNamara, a daughter of Robert S. McNamara of Washington and the late Margaret McNamara, was married yesterday to John Stephen Spears, a son of the late Mr. and Mrs. Arthur J",,,5,,,The New York Times,,Thursday,WEDDINGS AND ENGAGEMENTS,,,48,Kathleen McNamara Weds J. S. Spears,,"LEAD: Kathleen McNamara, a daughter of Robert S. McNamara of Washington and the late Margaret McNamara, was married yesterday to John Stephen Spears, a son of the late Mr. and Mrs. Arthur John Spears of Shrewsbury, Shropshire, England. The Rev. Greg Anderson performed a Christian service at the Prince of Peace Chapel in Aspen,",,,Society Desk,,,,,,,,Style,,,16,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DE4D9143CF932A35752C0A961948260,211,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000048.xml,"('POSITIVE', 0.9832434058189392)",POSITIVE,0.9832434058189392
,,,,,"LEAD: THE 17th century was an important period of transition for both women writers and women readers. Before 1600 no more than a trickle of writing by women saw print. By the beginning of the 18th century, however, numbers of women not only published their work but also made a living from it. THE 17th century was an important period of transition for both women writers and women readers. Before 1600 no more than a trickle of writing by women saw print. By the beginning of the 18th century, however, numbers",Angeline Goreau,,1,,,The New York Times,,Thursday,SURVEYS AND SERIES|WOMEN,,,49,HERS,,"LEAD: THE 17th century was an important period of transition for both women writers and women readers. Before 1600 no more than a trickle of writing by women saw print. By the beginning of the 18th century, however, numbers of women not only published their work but also made a living from it.",,,Home Desk,"GOREAU, ANGELINE",,,,,,,Home and Garden; Style,,,34,ANGELINE GOREAU,19870101T000000,1,1,1987,1,WORTHY WOMEN REVISITED: Third of a series of Hers columns on early feminist efforts.,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DE1DA153CF932A35752C0A961948260,862,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000049.xml,"('POSITIVE', 0.990852415561676)",POSITIVE,0.990852415561676
,,,,,"LEAD: The new year is bringing a 1.3 percent benefit increase to the nation's 37 million Social Security beneficiaries and an end to the temporary respite from the payroll tax for 8.5 million Americans who paid the maximum levy in 1986. The new year is bringing a 1.3 percent benefit increase to the nation's 37 million Social Security beneficiaries and an end to the temporary respite from the payroll tax for 8.5 million Americans who paid the maximum levy in 1986. It took earnings of $42,000 or more in 1986 ",AP,,4,,,The New York Times,"WASHINGTON, Dec. 31",Thursday,SOCIAL SECURITY (US),,,50,Social Security Benefits Rise,,LEAD: The new year is bringing a 1.3 percent benefit increase to the nation's 37 million Social Security beneficiaries and an end to the temporary respite from the payroll tax for 8.5 million Americans who paid the maximum levy in 1986.,,,Financial Desk,,,,,,,,Business,,,43,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DE6D9153CF932A35752C0A961948260,202,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000050.xml,"('POSITIVE', 0.9940541982650757)",POSITIVE,0.9940541982650757
,,,,,"LEAD: Saudi Arabia introduced its long-awaited budget today, cutting spending for 1987 by 6 percent and projecting a deficit of 52.7 billion riyals, or about $14 billion, to be funded out of reserves. Saudi Arabia introduced its long-awaited budget today, cutting spending for 1987 by 6 percent and projecting a deficit of 52.7 billion riyals, or about $14 billion, to be funded out of reserves. Oil revenues will cover only about 40 percent of expenditures, and military spending will again take up more than a ",Reuters,,5,,,The New York Times,"RIYADH, Saudi Arabia, Dec. 31",Thursday,ECONOMIC CONDITIONS AND TRENDS|BUDGETS AND BUDGETING|FINANCES,,,51,Saudi Budget Introduced,,"LEAD: Saudi Arabia introduced its long-awaited budget today, cutting spending for 1987 by 6 percent and projecting a deficit of 52.7 billion riyals, or about $14 billion, to be funded out of reserves.",SAUDI ARABIA,,Financial Desk,,,,,,,,Business,,,45,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DE0D8153CF932A35752C0A961948260,189,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000051.xml,"('NEGATIVE', 0.9902758002281189)",NEGATIVE,0.9902758002281189
,,,,,"LEAD: Singapore's economic growth rate is beginning to improve, but still needs wage restraint to return to full health, Prime Minister Lee Kuan Yew said in a year-end message today. Singapore's economic growth rate is beginning to improve, but still needs wage restraint to return to full health, Prime Minister Lee Kuan Yew said in a year-end message today. The real growth rate after inflation in 1987 is expected to be between 3 and 4 percent, compared with 1.9 percent projected for this year, he said. In 1",Reuters,,6,,,The New York Times,"SINGAPORE, Dec. 31",Thursday,ECONOMIC CONDITIONS AND TRENDS|WAGES AND SALARIES,,,52,Singapore's Growth Rate,,"LEAD: Singapore's economic growth rate is beginning to improve, but still needs wage restraint to return to full health, Prime Minister Lee Kuan Yew said in a year-end message today.",SINGAPORE,,Financial Desk,,,,,,,,Business,,,50,LEE KUAN YEW (PRIME MIN),19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DE2D7153CF932A35752C0A961948260,133,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000052.xml,"('POSITIVE', 0.9354456067085266)",POSITIVE,0.9354456067085266
,,,,,"LEAD: This mountain village in northern Spain has rejected a $3,000 donation from President Augusto Pinochet of Chile to build a monument to a local historian on the ground that Chile does not have a democratic government, a city hall spokesman said today. The village priest had asked General Pinochet for a donation to honor Jose Perez Garcia, an 18th-century scholar who wrote a history of Chile. This mountain village in northern Spain has rejected a $3,000 donation from President Augusto Pinochet of Chile ",Reuters,,4,,,The New York Times,"COLINDRES, Spain, Dec. 31",Thursday,INTERNATIONAL RELATIONS|GIFTS,,,53,Pinochet Gift Is Rejected,,"LEAD: This mountain village in northern Spain has rejected a $3,000 donation from President Augusto Pinochet of Chile to build a monument to a local historian on the ground that Chile does not have a democratic government, a city hall spokesman said today. The village priest had asked General Pinochet for a donation to honor Jose Perez Garcia, an 18th-century scholar who wrote a history of Chile.",CHILE|SPAIN|COLINDRES (SPAIN),,Foreign Desk,,,,,,,,World,,,6,AUGUSTO PINOCHET UGARTE,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DE6DD123CF932A35752C0A961948260,66,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000053.xml,"('NEGATIVE', 0.9927477240562439)",NEGATIVE,0.9927477240562439
,,,,,"LEAD: The death toll from the gas explosion and fire at a luxury hotel at this winter sports resort on Saturday has risen to nine with the death of a badly burned youth, the police said today. They said two of the 10 other people injured in the disaster at the Hotel Riessersee were still in critical condition. The death toll from the gas explosion and fire at a luxury hotel at this winter sports resort on Saturday has risen to nine with the death of a badly burned youth, the police said today. They said two",Reuters,,2,,,The New York Times,"GARMISCH-PARTENKIRCHEN, West Germany, Dec. 31",Thursday,FIRES AND FIREMEN|EXPLOSIONS,,,54,German Blast Toll Up to 9,,"LEAD: The death toll from the gas explosion and fire at a luxury hotel at this winter sports resort on Saturday has risen to nine with the death of a badly burned youth, the police said today. They said two of the 10 other people injured in the disaster at the Hotel Riessersee were still in critical condition.",WEST GERMANY,,Foreign Desk,,,,,,,,World,,HOTEL RIESSERSEE (WEST GERMANY),56,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DE5DD123CF932A35752C0A961948260,52,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000054.xml,"('NEGATIVE', 0.9945038557052612)",NEGATIVE,0.9945038557052612
,,,Correction Appended,,"LEAD: IN the last year or so, the radioactive gas radon has emerged as perhaps the nation's leading environmental threat to health. The risk it poses is lung cancer, and experts at the Environmental Protection Agency estimate that radon may cause 5,000 to 20,000 of the nation's deaths from lung cancer each year. IN the last year or so, the radioactive gas radon has emerged as perhaps the nation's leading environmental threat to health. The risk it poses is lung cancer, and experts at the Environmental Prote",ROBERT HANLEY,,1,19870103T000000,"Correction: January 3, 1987, Saturday, Late City Final Edition",The New York Times,,Thursday,RADON GAS|HOUSING,,,55,"RADON: FOR THE HOMEOWNER, SOME QUESTIONS AND ANSWERS",,"LEAD: IN the last year or so, the radioactive gas radon has emerged as perhaps the nation's leading environmental threat to health. The risk it poses is lung cancer, and experts at the Environmental Protection Agency estimate that radon may cause 5,000 to 20,000 of the nation's deaths from lung cancer each year.",,,Home Desk,"HANLEY, ROBERT",,,,,,,Home and Garden; Style,,,39,ROBERT HANLEY,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DE7DC123CF932A35752C0A961948260,1775,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000055.xml,"('NEGATIVE', 0.9853990077972412)",NEGATIVE,0.9853990077972412
,,,,,"LEAD: Angolan troops killed 137 rebels, captured 16 and seized mortars, small arms and ammunition in operations this month in three southern provinces, the official Angolan press agency said today. Angolan troops killed 137 rebels, captured 16 and seized mortars, small arms and ammunition in operations this month in three southern provinces, the official Angolan press agency said today. The agency, monitored in Lisbon, quoted the military commander of the fifth region, Maj. Jonatao Augusto Moreira, as havin",Reuters,,2,,,The New York Times,"LISBON, Dec. 31",Thursday,"CIVIL WAR AND GUERRILLA WARFARE|ARMAMENT, DEFENSE AND MILITARY FORCES",,,56,Angola Says Its Troops Killed 137 Guerrillas in 3 Provinces,,"LEAD: Angolan troops killed 137 rebels, captured 16 and seized mortars, small arms and ammunition in operations this month in three southern provinces, the official Angolan press agency said today.",ANGOLA,,Foreign Desk,,,,,,,,World,,,6,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DEFDC123CF932A35752C0A961948260,70,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000056.xml,"('NEGATIVE', 0.9878151416778564)",NEGATIVE,0.9878151416778564
,,,,,"LEAD: Nine months after the ''open adoption'' of Erin McGarvey became final, the biological and adoptive parents of the 3-year-old retarded child agree that the unusual arrangement to share her is working well. Nine months after the ''open adoption'' of Erin McGarvey became final, the biological and adoptive parents of the 3-year-old retarded child agree that the unusual arrangement to share her is working well. Erin's biological mother said she had not seen her daughter for about six months but found comfo",AP,,1,,,The New York Times,"MARSTONS MILLS, Mass., Dec. 31",Thursday,ADOPTIONS|DOWN'S SYNDROME,,,57,FAMILIES PLEASED WITH 'OPEN ADOPTIONS',,"LEAD: Nine months after the ''open adoption'' of Erin McGarvey became final, the biological and adoptive parents of the 3-year-old retarded child agree that the unusual arrangement to share her is working well.",,,Home Desk,,,,,,,,Home and Garden; Style,,,37,ERIN MCGARVEY,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DEEDC123CF932A35752C0A961948260,568,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000057.xml,"('POSITIVE', 0.9747923612594604)",POSITIVE,0.9747923612594604
,,,,,"LEAD: FOOTBALL FLORIDA CITRUS BOWL, U.S.C. vs. Auburn, at Orlando, Fla., Noon (TV - Channel 7, Noon) COTTON BOWL, Texas A. M. vs. Ohio State, at Dallas, 1:30 P.M. (TV - Channel 2, 1:30 P.M.) SUGAR BOWL, Nebraska vs. L.S.U., at New Orleans, 3:30 P.M. (TV -Channel 7, 3:30 P.M. Radio -WNEW 1130, 3:10 P.M.) ROSE BOWL, Arizona State vs. FOOTBALL FLORIDA CITRUS BOWL, U.S.C. vs. Auburn, at Orlando, Fla., Noon (TV - Channel 7, Noon) COTTON BOWL, Texas A. M. vs. Ohio State, at Dallas, 1:30 P.M. (TV - Channel 2, 1:30",,,1,,,The New York Times,,Thursday,ATHLETICS AND SPORTS,,,58,SPORTS TODAY,,"LEAD: FOOTBALL FLORIDA CITRUS BOWL, U.S.C. vs. Auburn, at Orlando, Fla., Noon (TV - Channel 7, Noon) COTTON BOWL, Texas A. M. vs. Ohio State, at Dallas, 1:30 P.M. (TV - Channel 2, 1:30 P.M.) SUGAR BOWL, Nebraska vs. L.S.U., at New Orleans, 3:30 P.M. (TV -Channel 7, 3:30 P.M. Radio -WNEW 1130, 3:10 P.M.) ROSE BOWL, Arizona State vs.",,,Sports Desk,,,,,,,,Sports,,,18,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DEFDB123CF932A35752C0A961948260,118,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000058.xml,"('NEGATIVE', 0.9115865230560303)",NEGATIVE,0.9115865230560303
,,,,,"LEAD: The National Semiconductor Corporation, based in Santa Clara, Calif., said it lost $5.7 million in its second quarter, narrowed sharply from the $38.3 million loss reported a year ago. Sales for the quarter ended The National Semiconductor Corporation, based in Santa Clara, Calif., said it lost $5.7 million in its second quarter, narrowed sharply from the $38.3 million loss reported a year ago. Sales for the quarter ended Dec. 14 rose 31 percent, to $456.8 million, from $349.2 million a year ago. The ",Special to the New York Times,,4,,,The New York Times,"SAN FRANCISCO, Dec. 31",Thursday,Terms not available,,,59,Semiconductor Loss Narrows,,"LEAD: The National Semiconductor Corporation, based in Santa Clara, Calif., said it lost $5.7 million in its second quarter, narrowed sharply from the $38.3 million loss reported a year ago. Sales for the quarter ended",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DEED9123CF932A35752C0A961948260,201,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000059.xml,"('NEGATIVE', 0.9989549517631531)",NEGATIVE,0.9989549517631531
,,,,,"LEAD: ''Musical Kids'' is subtitled ''A Celebration of Philadelphia's Settlement Music School,'' and why not? The school, as seen in the 30-minute film on Channel 13 at 10:30 tonight, is an admirable place - dead serious, and at the same time a home to deep pleasure. A celebration does seem in order. ''Musical Kids'' is subtitled ''A Celebration of Philadelphia's Settlement Music School,'' and why not? The school, as seen in the 30-minute film on Channel 13 at 10:30 tonight, is an admirable place - dead ser",JOHN CORRY,,5,,,The New York Times,,Thursday,TELEVISION|REVIEWS,,,60,"TV: 'MUSICAL KIDS,' ON PHILADELPHIA YOUTH",,"LEAD: ''Musical Kids'' is subtitled ''A Celebration of Philadelphia's Settlement Music School,'' and why not? The school, as seen in the 30-minute film on Channel 13 at 10:30 tonight, is an admirable place - dead serious, and at the same time a home to deep pleasure. A celebration does seem in order.",,,Cultural Desk,"CORRY, JOHN",,,,,,,Arts,,WNET (TV STATION) (NYC),54,JOHN CORRY,19870101T000000,1,1,1987,1,,,,MUSICAL KIDS (TV PROGRAM),,http://query.nytimes.com/gst/fullpage.html?res=9B0DE4D8123CF932A35752C0A961948260,305,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000060.xml,"('POSITIVE', 0.9981069564819336)",POSITIVE,0.9981069564819336
,,,,,"LEAD: The trombonist Al Grey and the saxophonist Buddy Tate, both seasoned veterans of many years with the Count Basie orchestra, are constantly on the road now, either together or singly. They travel the world, picking up local rhythm sections to play with them. The trombonist Al Grey and the saxophonist Buddy Tate, both seasoned veterans of many years with the Count Basie orchestra, are constantly on the road now, either together or singly. They travel the world, picking up local rhythm sections to play w",JOHN S. WILSON,,3,,,The New York Times,,Thursday,MUSIC|REVIEWS|CONCERTS AND RECITALS,,,61,JAZZ: GREY AND TATE,,"LEAD: The trombonist Al Grey and the saxophonist Buddy Tate, both seasoned veterans of many years with the Count Basie orchestra, are constantly on the road now, either together or singly. They travel the world, picking up local rhythm sections to play with them.",,,Cultural Desk,,,,,,,,Arts,,,13,AL GREY|BUDDY TATE,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DE5D6123CF932A35752C0A961948260,271,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000061.xml,"('POSITIVE', 0.9993999600410461)",POSITIVE,0.9993999600410461
,,,,,"LEAD: The Canadian Government has opened a new major market of mortgage-backed securities, modeled after the hugely successful program in the United States. The Canadian Government has opened a new major market of mortgage-backed securities, modeled after the hugely successful program in the United States. Analysts expect the value of the market to exceed $250 million (Canadian), or $180 million (United States), by the end of 1987 and then grow dramatically in 1988 and 1989. Market watchers, however, said t",ReutersReuters,,4,,,The New York Times,"OTTAWA, Dec. 31",Thursday,MORTGAGES|FINANCES,,,62,Canadians Start Mortgage Market,,"LEAD: The Canadian Government has opened a new major market of mortgage-backed securities, modeled after the hugely successful program in the United States.",CANADA,,Financial Desk,,,,,,,,Business,,,50,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DE0DC133CF932A35752C0A961948260,248,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000062.xml,"('POSITIVE', 0.9889219403266907)",POSITIVE,0.9889219403266907
,,,,,"LEAD: CURATORS of historic houses are responding to new technologies and methods of research to change the long-cherished Colonial Revival taste, which governed earlier room restorations. From the 1930's through the 1970's, experts say, many rooms in these houses were furnished according to an idealized version of 18th- and early 19th-century elegance. CURATORS of historic houses are responding to new technologies and methods of research to change the long-cherished Colonial Revival taste, which governed ea",PAULA DEITZ,,6,,,The New York Times,,Thursday,HISTORIC BUILDINGS AND SITES|RESEARCH|RESTORATION AND REHABILITATION|INTERIOR DECORATION,,,63,NEW LOOK FOR HISTORIC HOUSES: ACCURACY REPLACES IDEALISM,,"LEAD: CURATORS of historic houses are responding to new technologies and methods of research to change the long-cherished Colonial Revival taste, which governed earlier room restorations. From the 1930's through the 1970's, experts say, many rooms in these houses were furnished according to an idealized version of 18th- and early 19th-century elegance.",MOUNT VERNON (VA)|WILLIAMSBURG (VA)|GUNSTON HALL,,Home Desk,"DEITZ, PAULA",,,,,,,Home and Garden; Style,,,33,PAULA DEITZ,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DEED9133CF932A35752C0A961948260,1298,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000063.xml,"('POSITIVE', 0.9988059997558594)",POSITIVE,0.9988059997558594
,,,,,"LEAD: The Greek Government said Tuesday that a statue of Harry S. Truman, blown off its pedestal by a bomb in March, had been repaired and would be re-erected next month. The Greek Government said Tuesday that a statue of Harry S. Truman, blown off its pedestal by a bomb in March, had been repaired and would be re-erected next month. But the 12-foot bronze statue will be placed in the courtyard of the Athens War Museum, and not in the downtown square where it had stood, the Interior Ministry said. President",Special to the New York Times,,1,,,The New York Times,"ATHENS, Dec. 31",Thursday,BOMBS AND BOMB PLOTS,,,64,Greece Finds New Site For Statue of Truman,,"LEAD: The Greek Government said Tuesday that a statue of Harry S. Truman, blown off its pedestal by a bomb in March, had been repaired and would be re-erected next month.",GREECE,,Foreign Desk,,,,,,,,World,,,56,HARRY S TRUMAN,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DEED8133CF932A35752C0A961948260,195,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000064.xml,"('NEGATIVE', 0.9981079697608948)",NEGATIVE,0.9981079697608948
,,,,,"LEAD: Bob Golic, the Cleveland Browns' nose tackle, is one of those athletes who was given a second chance in the National Football League and made the most of it. Bob Golic, the Cleveland Browns' nose tackle, is one of those athletes who was given a second chance in the National Football League and made the most of it. Steroids weren't involved in the quick makeover of Golic from the 235-pound linebacker let go by the New England Patriots to the 270-pound nose tackle voted to the Pro Bowl squad the past tw","WILLIAM N. WALLACE, Special to the New York Times",,1,,,The New York Times,"VERO BEACH, Fla., Dec. 31",Thursday,FOOTBALL|PLAYOFF GAMES,,,65,GOLIC IS STRONG POINT FOR BROWNS,N.F.L. PLAYOFFS,"LEAD: Bob Golic, the Cleveland Browns' nose tackle, is one of those athletes who was given a second chance in the National Football League and made the most of it.",,,Sports Desk,"WALLACE, WILLIAM N",,,,,,,Sports,,CLEVELAND BROWNS,19,WILLIAM N WALLACE|BOB GOLIC,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DE4DF103CF932A35752C0A961948260,723,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000065.xml,"('POSITIVE', 0.9542772769927979)",POSITIVE,0.9542772769927979
,,,,,"LEAD: WRITING IN RESTAURANTS. By David Mamet. 160 pages. Viking. $15.95. WRITING IN RESTAURANTS. By David Mamet. 160 pages. Viking. $15.95. It was as a child in a Chicago schoolyard that David Mamet first recognized words as ''magical and powerful unto themselves,'' whether used for insult, imprecation, arbitration or, as is the case with the adult Mamet, for dramatic poetry. On the strength of his theatrical body of work, plays that include ''American Buffalo'' and the Pulitzer Prize-winning ''Glengarry Gl",MEL GUSSOW,,1,,,The New York Times,,Thursday,BOOK REVIEWS,,,66,Books of The Times; Voice From the Theater,,LEAD: WRITING IN RESTAURANTS. By David Mamet. 160 pages. Viking. $15.95.,,,Cultural Desk,"GUSSOW, MEL",,,,,,,Arts; Books,,,15,MEL GUSSOW|DAVID MAMET,19870101T000000,1,1,1987,1,,,,WRITING IN RESTAURANTS (BOOK),,http://query.nytimes.com/gst/fullpage.html?res=9B0DE6DE103CF932A35752C0A961948260,877,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000066.xml,"('POSITIVE', 0.9990162253379822)",POSITIVE,0.9990162253379822
,,,,,"LEAD: The humorists Veronica Geng and Ian Frazier will read from their works on Monday at 8 P.M. at the 92d Street Y, at Lexington Avenue. Both writers are on the staff of The New Yorker magazine and have written for other publications. Tickets are $8. Information: 996-1100. The humorists Veronica Geng and Ian Frazier will read from their works on Monday at 8 P.M. at the 92d Street Y, at Lexington Avenue. Both writers are on the staff of The New Yorker magazine and have written for other publications. Ticke",,,4,,,The New York Times,,Thursday,WRITING AND WRITERS|HUMOR AND WIT,,,67,Two Humorists to Read,,"LEAD: The humorists Veronica Geng and Ian Frazier will read from their works on Monday at 8 P.M. at the 92d Street Y, at Lexington Avenue. Both writers are on the staff of The New Yorker magazine and have written for other publications. Tickets are $8. Information: 996-1100.",,,Cultural Desk,,,,,,,,Arts,,NEW YORKER MAGAZINE INC,13,VERONICA GENG|IAN FRAZIER,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9B0DE5DC103CF932A35752C0A961948260,46,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000067.xml,"('POSITIVE', 0.982920229434967)",POSITIVE,0.982920229434967
